review_id,product_id,rating,review_text,review_date,verified_purchase,source_url
r055,p02,3,"One cat loves it, the other ignores it completely.",2026-05-11,false,https://example.com/demo/review/r055
r056,p03,4,"Both cats drink from it, they seem to prefer running water.",2026-05-09,true,https://example.com/demo/review/r056
r057,p04,3,"My cat was scared of the sound at first but got used to it.",2026-05-07,true,https://example.com/demo/review/r057
r058,p06,4,"Cats love the moving water and use it constantly.",2026-05-05,true,https://example.com/demo/review/r058
r059,p07,4,"My picky cat finally drinks more with this fountain.",2026-06-30,true,https://example.com/demo/review/r059
r060,p08,3,"Only one of my three cats uses it regularly.",2026-06-28,false,https://example.com/demo/review/r060
r061,p09,3,"Cat accepts it but drinks about the same amount.",2026-06-26,true,https://example.com/demo/review/r061
r062,p11,4,"Both cats accepted it on day one, no hesitation.",2026-06-24,true,https://example.com/demo/review/r062
r063,p12,5,"My cat is obsessed with it, drinks several times a day.",2026-06-22,true,https://example.com/demo/review/r063
r064,p01,4,"Solid basic fountain, works well, cleaning is the only chore.",2026-06-20,true,https://example.com/demo/review/r064
r065,p03,4,"Quiet and looks nice on the counter, worth the price.",2026-06-18,true,https://example.com/demo/review/r065
r066,p05,3,"Average fountain for the price, nothing special.",2026-06-16,false,https://example.com/demo/review/r066
r067,p07,5,"Best fountain I have tried, quiet and my cats love it.",2026-06-14,true,https://example.com/demo/review/r067
r068,p11,4,"Simple and effective, easy to fill and maintain.",2026-06-12,true,https://example.com/demo/review/r068
r069,p12,4,"Good quality build and a quiet pump.",2026-06-10,true,https://example.com/demo/review/r069
r070,p02,3,"Fine fountain, no complaints really.",2026-06-08,true,https://example.com/demo/review/r070
r071,p04,4,"Small but does the job, quiet motor.",2026-06-06,false,https://example.com/demo/review/r071
r072,p06,3,"It is okay, a little awkward to take apart.",2026-06-04,true,https://example.com/demo/review/r072
r073,p09,3,"Works but feels cheap, I worry about durability.",2026-06-02,true,https://example.com/demo/review/r073
r074,p10,4,"Reliable so far, low running costs.",2026-05-31,false,https://example.com/demo/review/r074
r075,p08,4,"Good purchase overall, quiet and steady.",2026-05-29,true,https://example.com/demo/review/r075
r076,p12,3,"Decent, though the ceramic is easy to chip.",2026-05-27,true,https://example.com/demo/review/r076
